Slovo;Rod;Slovo2;Rod2
nepríjemný;mužský neživotný;nepríjemný;mužský neživotný
pocit;mužský neživotný;pocit;mužský neživotný
v;;v;
plavkách;ženský;plavkách;ženský
smiešne;;smiešne;
Zaznel;mužský neživotný;Zaznel;mužský neživotný
zvonec;mužský neživotný;zvonec;mužský neživotný
a;stredný;a;
všetko;stredný;všetko;stredný
stíchlo;stredný;stíchlo;stredný
Počula;ženský;Počula;ženský
som;;som;
nástenných;ženský;nástenných;ženský
hodín;ženský;hodín;ženský
a;stredný;a;
vlastný;mužský neživotný;vlastný;mužský neživotný
dych;mužský neživotný;dych;mužský neživotný
Nato;;Nato;
zaznel;mužský neživotný;zaznel;mužský neživotný
výstrel;mužský neživotný;výstrel;mužský neživotný
odrazila;ženský;odrazila;ženský
som;;som;
sa;;sa;
a;stredný;a;
vyrazila;ženský;vyrazila;ženský
ako;;ako;
šíp;mužský neživotný;šíp;mužský neživotný
Hladko;;Hladko;
som;;som;
vkĺzla;ženský;vkĺzla;ženský
pod;;pod;
vodu;ženský;vodu;ženský
a;stredný;a;
vynorila;ženský;vynorila;ženský
sa;;sa;
na;;na;
hladine;ženský;hladine;ženský
Do;;Do;
toho;stredný;toho;stredný
do;;do;
toho;stredný;toho;stredný
do;;do;
toho;stredný;toho;stredný
povzbudzovala;ženský;povzbudzovala;ženský
som;;som;
sa;;sa;
v;;v;
duchu;mužský neživotný;duchu;mužský neživotný
cítiac;;cítiac;
ako;;ako;
mi;;mi;všeobecný
pulzuje;;pulzuje;
celé;ženský;celé;stredný
telo;stredný;telo;stredný
Odraz;mužský neživotný;Odraz;
sa;;sa;
povedala;ženský;povedala;ženský
som;;som;
si;;si;
na;;na;
konci;mužský neživotný;konci;mužský neživotný
dráhy;ženský;dráhy;ženský
po;;po;
prvej;ženský;prvej;ženský
dĺžke;ženský;dĺžke;ženský
a;stredný;a;
hladko;;hladko;
som;;som;
to;stredný;to;stredný
zvládla;ženský;zvládla;ženský
Buch;;Buch;
Tretiu;ženský;Tretiu;ženský
dĺžku;ženský;dĺžku;ženský
som;;som;
začala;ženský;začala;ženský
nešťastne;;nešťastne;
Po;;Po;
známej;ženský;známej;ženský
zrážke;ženský;zrážke;ženský
s;stredný;s;
okrajom;mužský neživotný;okrajom;mužský neživotný
bazéna;mužský neživotný;bazéna;mužský neživotný
ma;;ma;všeobecný
boleli;ženský;boleli;ženský
päty;ženský;päty;ženský
a;stredný;a;
prestala;ženský;prestala;ženský
som;;som;
si;;si;
veriť;;veriť;
Vyhrala;ženský;Vyhrala;ženský
som;;som;
a;stredný;a;
tri;ženský;tri;ženský
plavkyne;ženský;plavkyne;ženský
z;stredný;z;
plaveckého;mužský neživotný;plaveckého;mužský neživotný
oddielu;mužský neživotný;oddielu;mužský neživotný
Žralokov;mužský neživotný;Žralokov;mužský životný
otvárali;ženský;otvárali;ženský
vo;;vo;
vode;ženský;vode;ženský
oči;stredný;oči;stredný
keď;;keď;
som;;som;
sa;;sa;
vyšvihla;ženský;vyšvihla;ženský
hore;;hore;
sa;;sa;
na;;na;
mňa;;mňa;všeobecný
usmieval;mužský neživotný;usmieval;mužský životný
a;stredný;a;
tak;;tak;
som;;som;
sa;;sa;
usmiala;ženský;usmiala;ženský
i;stredný;i;
ja;stredný;ja;všeobecný
naňho;mužský životný;naňho;mužský životný
Bol;ženský;Bol;mužský neživotný
to;stredný;to;stredný
fantastický;mužský neživotný;fantastický;mužský neživotný
pocit;mužský neživotný;pocit;mužský neživotný
Ešte;;Ešte;
raz;mužský neživotný;raz;
blahoželám;;blahoželám;
povedal;mužský neživotný;povedal;mužský životný
keď;;keď;
si;;si;
cestou;;cestou;ženský
späť;;späť;
sadol;mužský neživotný;sadol;mužský životný
v;;v;
autobuse;mužský neživotný;autobuse;mužský neživotný
vedľa;;vedľa;
mňa;;mňa;všeobecný
Ďakujem;;Ďakujem;
povedala;ženský;povedala;ženský
som;;som;
lebo;;lebo;
nič;stredný;nič;stredný
lepšie;;lepšie;stredný
mi;;mi;všeobecný
Pokrčila;ženský;Pokrčila;ženský
som;;som;
plecami;stredný;plecami;stredný
Nahol;mužský neživotný;Nahol;mužský životný
sa;;sa;
ku;;ku;
mne;;mne;všeobecný
a;stredný;a;
odhrnul;mužský neživotný;odhrnul;mužský životný
mi;;mi;všeobecný
z;stredný;z;
tváre;ženský;tváre;ženský
mokré;ženský;mokré;mužský neživotný
vlasy;mužský neživotný;vlasy;mužský neživotný
Cítila;ženský;Cítila;ženský
som;;som;
na;;na;
pokožke;ženský;pokožke;ženský
nežný;mužský neživotný;nežný;mužský neživotný
dotyk;mužský neživotný;dotyk;mužský neživotný
jeho;ženský;jeho;mužský neživotný
prstov;mužský neživotný;prstov;mužský neživotný
Ešte;;Ešte;
chvíľu;;chvíľu;
na;;na;
mňa;;mňa;všeobecný
skúmavo;;skúmavo;
s;stredný;s;
úsmevom;mužský neživotný;úsmevom;mužský neživotný
hľadel;mužský neživotný;hľadel;mužský životný
Bol;ženský;Bol;mužský neživotný
to;stredný;to;stredný
nádherný;mužský neživotný;nádherný;mužský neživotný
okamih;mužský neživotný;okamih;mužský neživotný
sedeli;ženský;sedeli;všeobecný
sme;;sme;
vedľa;;vedľa;
seba;;seba;všeobecný
v;;v;
prítmí;stredný;prítmí;stredný
autobusu;mužský neživotný;autobusu;mužský neživotný
a;stredný;a;
žlté;ženský;žlté;stredný
pouličné;ženský;pouličné;stredný
osvetlenie;stredný;osvetlenie;stredný
ožiarilo;stredný;ožiarilo;stredný
tvár;ženský;tvár;ženský
Usmiala;ženský;Usmiala;ženský
som;;som;
sa;;sa;
na;;na;
Naozaj;;Naozaj;
mi;;mi;všeobecný
šťastie;stredný;šťastie;stredný
prialo;stredný;prialo;stredný
Zvíťazila;ženský;Zvíťazila;ženský
som;;som;
v;;v;
najdôležitejších;ženský;najdôležitejších;mužský neživotný
pretekoch;mužský neživotný;pretekoch;mužský neživotný
kapitola;ženský;kapitola;ženský
som;;som;
aby;;aby;
niekde;;niekde;
zablúdil;mužský neživotný;zablúdil;mužský životný
mama;ženský;mama;ženský
bude;;bude;
spať;;spať;
Len;;Len;
nedávno;;nedávno;
mali;ženský;mali;mužský životný
v;;v;
banke;ženský;banke;ženský
celoročné;ženský;celoročné;stredný
hodnotenie;stredný;hodnotenie;stredný
a;stredný;a;
dnes;;dnes;
sa;;sa;
dozvedela;ženský;dozvedela;ženský
že;;že;
jej;ženský;jej;ženský
riaditeľ;mužský životný;riaditeľ;mužský životný
zvýšil;mužský neživotný;zvýšil;mužský životný
plat;mužský neživotný;plat;mužský neživotný
Blahoželám;;Blahoželám;
mami;ženský;mami;ženský
To;stredný;To;stredný
je;;je;
fantastická;ženský;fantastická;ženský
novina;ženský;novina;ženský
zvolala;ženský;zvolala;ženský
som;;som;
a;stredný;a;
objala;ženský;objala;ženský
ju;ženský;ju;ženský
Pozrela;ženský;Pozrela;ženský
som;;som;
na;;na;
ňu;ženský;ňu;ženský
a;stredný;a;
napravila;ženský;napravila;ženský
som;;som;
si;;si;
zelenú;ženský;zelenú;ženský
košeľu;ženský;košeľu;ženský
ktorú;ženský;ktorú;ženský
som;;som;
si;;si;
dala;ženský;dala;ženský
na;;na;
rande;stredný;rande;stredný
Na;;Na;
oslavu;ženský;oslavu;ženský
tvojho;mužský neživotný;tvojho;mužský neživotný
úspechu;mužský neživotný;úspechu;mužský neživotný
dodala;ženský;dodala;ženský
som;;som;
Pochybovačne;;Pochybovačne;
zdvihla;ženský;zdvihla;ženský
obočie;stredný;obočie;stredný
pozrela;ženský;pozrela;ženský
na;;na;
mňa;;mňa;všeobecný
a;stredný;a;
ďalej;;ďalej;
vykladala;ženský;vykladala;ženský
nákup;mužský neživotný;nákup;mužský neživotný
Zaspíš;;Zaspíš;
kým;;kým;
sa;;sa;
dopečie;;dopečie;
vyhlásila;ženský;vyhlásila;ženský
som;;som;
neisto;;neisto;
Čo;stredný;Čo;stredný
je;;je;
s;stredný;s;
tebou;;tebou;všeobecný
Keď;;Keď;
sa;;sa;
raz;mužský neživotný;raz;
rozhodla;ženský;rozhodla;ženský
piecť;;piecť;
v;;v;
takú;ženský;takú;ženský
nezvyčajnú;ženský;nezvyčajnú;ženský
hodinu;ženský;hodinu;ženský
nikto;mužský životný;nikto;mužský životný
jej;ženský;jej;ženský
v;;v;
tom;stredný;tom;stredný
Ak;;Ak;
prirátam;;prirátam;
hodinu;ženský;hodinu;ženský
na;;na;
pečenie;stredný;pečenie;stredný
bude;;bude;
trištvrte;ženský;trištvrte;stredný
na;;na;
jedenásť;stredný;jedenásť;stredný
Aha;;Aha;
odvetila;ženský;odvetila;ženský
som;;som;
nemastno;;nemastno;
neslano;;neslano;
Podišla;ženský;Podišla;ženský
som;;som;
ku;;ku;
kuchynskej;ženský;kuchynskej;ženský
doske;ženský;doske;ženský
a;stredný;a;
zapla;ženský;zapla;ženský
rádio;stredný;rádio;stredný
Zasmiala;ženský;Zasmiala;ženský
sa;;sa;
Keď;;Keď;
sme;;sme;
všetko;stredný;všetko;stredný
spratali;ženský;spratali;všeobecný
som;;som;
sa;;sa;
do;;do;
obývačky;ženský;obývačky;ženský
a;stredný;a;
prepínala;ženský;prepínala;ženský
kanály;mužský neživotný;kanály;mužský neživotný
na;;na;
televízore;mužský neživotný;televízore;mužský neživotný
Hľadala;ženský;Hľadala;ženský
som;;som;
niečo;stredný;niečo;stredný
čo;stredný;čo;stredný
mamu;mužský neživotný;mamu;ženský
uspí;;uspí;
Usadili;ženský;Usadili;všeobecný
sme;;sme;
sa;;sa;
na;;na;
pohovke;ženský;pohovke;ženský
a;stredný;a;
z;stredný;z;
kuchyne;ženský;kuchyne;ženský
sme;;sme;
počuli;ženský;počuli;všeobecný
hodín;ženský;hodín;ženský
na;;na;
rúre;ženský;rúre;ženský
Opatrne;;Opatrne;
som;;som;
vstala;ženský;vstala;ženský
aby;;aby;
som;;som;
ju;ženský;ju;ženský
a;stredný;a;
išla;ženský;išla;ženský
som;;som;
vypnúť;;vypnúť;
televízor;mužský neživotný;televízor;mužský neživotný
V;;V;
šere;stredný;šere;stredný
som;;som;
vybrala;ženský;vybrala;ženský
deku;ženský;deku;ženský
a;stredný;a;
pozakrývala;ženský;pozakrývala;ženský
ju;ženský;ju;ženský
Potom;;Potom;
som;;som;
sa;;sa;
po;;po;
špičkách;ženský;špičkách;ženský
odkradla;ženský;odkradla;ženský
do;;do;
kuchyne;ženský;kuchyne;ženský
a;stredný;a;
potichu;;potichu;
som;;som;
vypla;ženský;vypla;ženský
hodiny;ženský;hodiny;ženský
kapitola;ženský;kapitola;ženský
Spokojne;;Spokojne;
som;;som;
sedela;ženský;sedela;ženský
na;;na;
trávniku;mužský neživotný;trávniku;mužský neživotný
pred;;pred;
domom;mužský neživotný;domom;mužský neživotný
vdychovala;ženský;vdychovala;ženský
eukalyptovú;ženský;eukalyptovú;ženský
vôňu;ženský;vôňu;ženský
a;stredný;a;
chladnejší;mužský neživotný;chladnejší;mužský neživotný
vzduch;mužský neživotný;vzduch;mužský neživotný
i;stredný;i;
sledovala;ženský;sledovala;ženský
som;;som;
ako;;ako;
nado;;nado;
mnou;;mnou;všeobecný
vetrík;mužský neživotný;vetrík;mužský neživotný
povieva;;povieva;
palmovými;ženský;palmovými;mužský neživotný
listami;mužský neživotný;listami;mužský neživotný
Čakala;ženský;Čakala;ženský
som;;som;
na;;na;
Videla;ženský;Videla;ženský
som;;som;
ako;;ako;
zabočil;mužský neživotný;zabočil;mužský životný
na;;na;
našu;ženský;našu;ženský
ulicu;ženský;ulicu;ženský
Odviazal;mužský neživotný;Odviazal;mužský životný
kôš;mužský neživotný;kôš;mužský neživotný
a;stredný;a;
podal;mužský neživotný;podal;mužský životný
mi;;mi;všeobecný
ho;;ho;mužský neživotný
Závidela;ženský;Závidela;ženský
som;;som;
chalanom;mužský životný;chalanom;mužský životný
tí;mužský životný;tí;mužský životný
sa;;sa;
majú;;majú;
Aby;;Aby;
ma;;ma;všeobecný
za;;za;
decko;stredný;decko;stredný
pretože;;pretože;
súhlas;mužský neživotný;súhlas;mužský neživotný
nič;stredný;nič;stredný
som;;som;
mu;mužský neživotný;mu;mužský životný
Usadili;ženský;Usadili;všeobecný
sme;;sme;
sa;;sa;
pripravení;mužský životný;pripravení;mužský životný
sledovať;;sledovať;
oblohu;ženský;oblohu;ženský
Sadla;stredný;Sadla;ženský
som;;som;
si;;si;
vedľa;;vedľa;
neho;mužský neživotný;neho;mužský životný
a;stredný;a;
rukami;ženský;rukami;ženský
som;;som;
si;;si;
objala;ženský;objala;ženský
kolená;stredný;kolená;stredný
Cítila;ženský;Cítila;ženský
som;;som;
zvláštny;mužský neživotný;zvláštny;mužský neživotný
pokoj;mužský neživotný;pokoj;mužský neživotný
nám;;nám;všeobecný
povedal;mužský neživotný;povedal;mužský životný
že;;že;
o;;o;
sa;;sa;
mesiac;mužský neživotný;mesiac;mužský neživotný
začne;;začne;
postupne;;postupne;
pohybovať;;pohybovať;
do;;do;
tieňa;mužský neživotný;tieňa;mužský neživotný
zeme;ženský;zeme;ženský
Nastavme;;Nastavme;
si;;si;
rovnako;;rovnako;
hodinky;ženský;hodinky;ženský
povedal;mužský neživotný;povedal;mužský životný
Štvrť;ženský;Štvrť;stredný
na;;na;
dvanásť;stredný;dvanásť;stredný
povedala;ženský;povedala;ženský
som;;som;
a;stredný;a;
odvetil;mužský neživotný;odvetil;mužský životný
Správne;;Správne;
sa;;sa;
zasmial;mužský neživotný;zasmial;mužský životný
a;stredný;a;
pomrvil;mužský neživotný;pomrvil;mužský životný
sa;;sa;
na;;na;
tvrdých;ženský;tvrdých;ženský
hranatých;ženský;hranatých;ženský
škridlách;ženský;škridlách;ženský
sa;;sa;
oprel;mužský neživotný;oprel;mužský životný
o;;o;
lakeť;mužský neživotný;lakeť;mužský neživotný
Neviem;;Neviem;
si;;si;
ťa;;ťa;všeobecný
v;;v;
uniforme;ženský;uniforme;ženský
predstaviť;;predstaviť;
povedala;ženský;povedala;ženský
som;;som;
Čakali;ženský;Čakali;mužský životný
že;;že;
aspoň;;aspoň;
jeden;mužský neživotný;jeden;mužský životný
z;stredný;z;
nás;;nás;všeobecný
pôjde;mužský neživotný;pôjde;
v;;v;
ich;ženský;ich;ženský
šľapajach;ženský;šľapajach;ženský
Mhm;;Mhm;
odvetila;ženský;odvetila;ženský
som;;som;
I;;I;
ja;stredný;ja;všeobecný
mám;;mám;
občas;;občas;
dojem;mužský neživotný;dojem;mužský neživotný
že;;že;
môj;mužský neživotný;môj;mužský neživotný
život;mužský neživotný;život;mužský neživotný
riadia;;riadia;
sny;mužský neživotný;sny;mužský neživotný
otvoril;mužský neživotný;otvoril;mužský životný
kôš;mužský neživotný;kôš;mužský neživotný
a;stredný;a;
vybral;mužský neživotný;vybral;mužský životný
dve;ženský;dve;ženský
koly;ženský;koly;ženský
Vieš;;Vieš;
minulé;ženský;minulé;stredný
leto;stredný;leto;stredný
som;;som;
mal;;mal;mužský životný
fantastický;mužský neživotný;fantastický;mužský neživotný
džob;mužský neživotný;džob;mužský neživotný
Pokrčil;mužský neživotný;Pokrčil;mužský životný
plecami;stredný;plecami;stredný
a;stredný;a;
podal;mužský neživotný;podal;mužský životný
mi;;mi;všeobecný
Možno;;Možno;
spolu;;spolu;
na;;na;
niečo;stredný;niečo;stredný
prídeme;;prídeme;
mama;ženský;mama;ženský
zabalila;ženský;zabalila;ženský
chlebíčky;mužský neživotný;chlebíčky;mužský neživotný
po;;po;
štyroch;ženský;štyroch;mužský neživotný
do;;do;
plastovej;ženský;plastovej;ženský
fólie;ženský;fólie;ženský
a;stredný;a;
ešte;;ešte;
do;;do;
alobalu;mužský neživotný;alobalu;mužský neživotný
roztrhol;mužský neživotný;roztrhol;mužský životný
jedno;;jedno;stredný
balenie;stredný;balenie;stredný
ale;;ale;
veľmi;;veľmi;
sa;;sa;
s;stredný;s;
ním;mužský neživotný;ním;stredný
Poďakovala;ženský;Poďakovala;ženský
som;;som;
sa;;sa;
mu;mužský neživotný;mu;mužský životný
keď;;keď;
mi;;mi;všeobecný
kúsok;mužský neživotný;kúsok;mužský neživotný
podal;mužský neživotný;podal;mužský životný
to;stredný;to;stredný
odvetil;mužský neživotný;odvetil;mužský životný
Nemá;ženský;Nemá;
čas;mužský neživotný;čas;mužský neživotný
Zmĺkla;ženský;Zmĺkla;ženský
som;;som;
lebo;;lebo;
som;;som;
si;;si;
spomenula;ženský;spomenula;ženský
ako;;ako;
sa;;sa;
moja;ženský;moja;ženský
mama;ženský;mama;ženský
pustila;ženský;pustila;ženský
do;;do;
pečenia;stredný;pečenia;stredný
aj;;aj;
po;;po;
dvoch;ženský;dvoch;ženský
šichtách;ženský;šichtách;ženský
A;;A;
teraz;;teraz;
ti;;ti;všeobecný
poviem;;poviem;
niečo;stredný;niečo;stredný
čo;stredný;čo;stredný
ti;;ti;všeobecný
vyrazí;;vyrazí;
dych;mužský neživotný;dych;mužský neživotný
začal;mužský neživotný;začal;mužský životný
Presne;;Presne;
povedal;mužský neživotný;povedal;mužský životný
O;;O;
dvadsať;ženský;dvadsať;stredný
minút;ženský;minút;ženský
nastalo;stredný;nastalo;stredný
úplné;ženský;úplné;stredný
zatmenie;stredný;zatmenie;stredný
Neuveriteľné;ženský;Neuveriteľné;stredný
zvolala;ženský;zvolala;ženský
som;;som;
No;;No;
a;stredný;a;
Tak;;Tak;
tú;;tú;ženský
mágiu;ženský;mágiu;ženský
sledujme;;sledujme;
Kam;;Kam;
ideš;;ideš;
spýtal;mužský neživotný;spýtal;mužský životný
sa;;sa;
som;;som;
vyliezla;ženský;vyliezla;ženský
na;;na;
vrchol;mužský neživotný;vrchol;mužský neživotný
strechy;ženský;strechy;ženský
chvíľu;;chvíľu;
som;;som;
balansovala;ženský;balansovala;ženský
a;stredný;a;
opatrne;;opatrne;
som;;som;
zliezla;ženský;zliezla;ženský
na;;na;
opačnú;ženský;opačnú;ženský
stranu;ženský;stranu;ženský
Poď;;Poď;
sem;;sem;
zašepkala;ženský;zašepkala;ženský
som;;som;
Keď;;Keď;
prišiel;mužský neživotný;prišiel;mužský životný
ku;;ku;
mne;;mne;všeobecný
ukázala;ženský;ukázala;ženský
som;;som;
na;;na;
bazén;mužský neživotný;bazén;mužský neživotný
Na;;Na;
pokojnej;ženský;pokojnej;ženský
hladine;ženský;hladine;ženský
plával;mužský neživotný;plával;mužský neživotný
medený;mužský neživotný;medený;mužský neživotný
odraz;mužský neživotný;odraz;mužský neživotný
mesiaca;mužský neživotný;mesiaca;mužský neživotný
Aha;;Aha;
zvolali;ženský;zvolali;všeobecný
sme;;sme;
dvojhlasne;;dvojhlasne;
zašepkal;mužský neživotný;zašepkal;mužský životný
Cítila;ženský;Cítila;ženský
som;;som;
že;;že;
sa;;sa;
pohybujú;;pohybujú;
ako;;ako;
keby;;keby;
mi;;mi;všeobecný
chceli;ženský;chceli;ženský
prezradiť;;prezradiť;
nejaké;ženský;nejaké;stredný
tajomstvo;stredný;tajomstvo;stredný
ústa;stredný;ústa;stredný
a;stredný;a;
zľahka;;zľahka;
mi;;mi;všeobecný
hrýzol;mužský neživotný;hrýzol;mužský životný
pery;ženský;pery;ženský
ako;;ako;
keby;;keby;
ich;ženský;ich;ženský
ochutnával;mužský neživotný;ochutnával;mužský životný
Okolo;;Okolo;
nás;;nás;všeobecný
pulzovala;ženský;pulzovala;ženský
noc;ženský;noc;ženský
a;stredný;a;
ozývali;ženský;ozývali;mužský neživotný
sa;;sa;
známe;ženský;známe;mužský neživotný
zvuky;mužský neživotný;zvuky;mužský neživotný
okolia;stredný;okolia;stredný
tlmený;mužský neživotný;tlmený;mužský neživotný
hukot;mužský neživotný;hukot;mužský neživotný
čerpadiel;stredný;čerpadiel;stredný
v;;v;
okolitých;ženský;okolitých;mužský neživotný
bazénoch;mužský neživotný;bazénoch;mužský neživotný
Možno;;Možno;
to;stredný;to;stredný
čo;stredný;čo;stredný
sa;;sa;
potom;;potom;
stalo;stredný;stalo;stredný
zvalím;;zvalím;
na;;na;
mesiac;mužský neživotný;mesiac;mužský neživotný
Vtom;;Vtom;
sa;;sa;
odraz;mužský neživotný;odraz;mužský neživotný
mesiaca;mužský neživotný;mesiaca;mužský neživotný
rozbil;mužský neživotný;rozbil;mužský neživotný
na;;na;
črepy;mužský neživotný;črepy;mužský neživotný
no;;no;
zakrátko;;zakrátko;
sa;;sa;
zasa;;zasa;
zjavil;mužský neživotný;zjavil;mužský neživotný
na;;na;
hladine;ženský;hladine;ženský
Voda;ženský;Voda;ženský
špliechala;ženský;špliechala;ženský
o;;o;
okraje;mužský neživotný;okraje;mužský neživotný
a;stredný;a;
zamočila;ženský;zamočila;ženský
ležadlá;stredný;ležadlá;stredný
pri;;pri;
bazéne;mužský neživotný;bazéne;mužský neživotný
Poď;;Poď;
aj;;aj;
ty;;ty;všeobecný
zavolal;mužský neživotný;zavolal;mužský životný
pološeptom;;pološeptom;
a;stredný;a;
šliapal;mužský neživotný;šliapal;mužský životný
vodu;ženský;vodu;ženský
Potom;;Potom;
som;;som;
oči;stredný;oči;stredný
otvorila;ženský;otvorila;ženský
a;stredný;a;
v;;v;
tme;ženský;tme;ženský
som;;som;
smerovala;ženský;smerovala;ženský
k;stredný;k;
odrazu;;odrazu;mužský neživotný
mesiaca;mužský neživotný;mesiaca;mužský neživotný
Je;;Je;
studená;stredný;studená;ženský
šliapal;mužský neživotný;šliapal;mužský životný
vodu;ženský;vodu;ženský
a;stredný;a;
ako;;ako;
psík;mužský životný;psík;mužský životný
krúžil;mužský neživotný;krúžil;mužský životný
okolo;;okolo;
mňa;;mňa;všeobecný
Padajme;;Padajme;
kým;;kým;
nás;;nás;všeobecný
tu;;tu;
zbadá;;zbadá;
správca;mužský životný;správca;mužský životný
zašepkala;ženský;zašepkala;ženský
som;;som;
Keby;;Keby;
ste;stredný;ste;
tu;;tu;
vyrastali;ženský;vyrastali;všeobecný
pripadalo;stredný;pripadalo;stredný
by;;by;
vám;;vám;všeobecný
to;stredný;to;stredný
normálne;;normálne;stredný
Tak;;Tak;
poď;;poď;
zašepkal;mužský neživotný;zašepkal;mužský životný
Až;;Až;
teraz;;teraz;
som;;som;
si;;si;
všimla;ženský;všimla;ženský
že;;že;
je;;je;
Počkaj;;Počkaj;
povedal;mužský neživotný;povedal;mužský životný
vyzul;mužský neživotný;vyzul;mužský životný
si;;si;
tenisku;ženský;tenisku;ženský
a;stredný;a;
vylial;mužský neživotný;vylial;mužský životný
z;stredný;z;
nej;ženský;nej;ženský
vodu;ženský;vodu;ženský
na;;na;
trávnik;mužský neživotný;trávnik;mužský neživotný
Najprv;;Najprv;
sme;;sme;
sa;;sa;
pomaly;;pomaly;
a;stredný;a;
opatrne;;opatrne;
zakrádali;ženský;zakrádali;všeobecný
k;stredný;k;
ich;ženský;ich;mužský neživotný
domu;mužský neživotný;domu;mužský neživotný
ale;;ale;
potom;;potom;
sme;;sme;
prebiehali;ženský;prebiehali;všeobecný
od;;od;
lampy;ženský;lampy;ženský
k;stredný;k;
lampe;ženský;lampe;ženský
Ako;;Ako;
zlodeji;mužský životný;zlodeji;mužský životný
sme;;sme;
sa;;sa;
vyhýbali;ženský;vyhýbali;všeobecný
osvetleniu;stredný;osvetleniu;stredný
a;stredný;a;
snažili;ženský;snažili;všeobecný
sa;;sa;
skrývať;;skrývať;
v;;v;
bezpečí;stredný;bezpečí;stredný
noci;ženský;noci;ženský
Prebehli;ženský;Prebehli;všeobecný
sme;;sme;
okolo;;okolo;
nich;mužský neživotný;nich;mužský neživotný
a;stredný;a;
prešmykli;ženský;prešmykli;všeobecný
sa;;sa;
dozadu;;dozadu;
k;stredný;k;
dvojmetrovému;mužský neživotný;dvojmetrovému;mužský neživotný
múru;mužský neživotný;múru;mužský neživotný
Tu;;Tu;
je;;je;
diera;ženský;diera;ženský
zašepkala;ženský;zašepkala;ženský
som;;som;
a;stredný;a;
vybrala;ženský;vybrala;ženský
trs;mužský neživotný;trs;mužský neživotný
trávy;ženský;trávy;ženský
ktorý;mužský neživotný;ktorý;mužský neživotný
zakrýval;mužský neživotný;zakrýval;mužský neživotný
stupienok;mužský neživotný;stupienok;mužský neživotný
z;stredný;z;
palmového;mužský neživotný;palmového;stredný
dreva;stredný;dreva;stredný
Sú;;Sú;
tam;;tam;
psi;mužský neživotný;psi;mužský neživotný
spýtal;mužský neživotný;spýtal;mužský životný
sa;;sa;
ma;;ma;všeobecný
kým;;kým;
sa;;sa;
vyšvihol;mužský neživotný;vyšvihol;mužský životný
na;;na;
múr;mužský neživotný;múr;mužský neživotný
To;stredný;To;stredný
je;;je;
bomba;ženský;bomba;ženský
povedal;mužský neživotný;povedal;mužský životný
udivene;;udivene;
na;;na;
mňa;;mňa;všeobecný
pozrel;mužský neživotný;pozrel;mužský životný
či;;či;
mi;;mi;všeobecný
Asi;;Asi;
som;;som;
ho;;ho;mužský neživotný
zabudol;mužský neživotný;zabudol;mužský životný
u;stredný;u;
vás;;vás;všeobecný
na;;na;
streche;ženský;streche;ženský
V;;V;
podstate;ženský;podstate;ženský
som;;som;
blufovala;ženský;blufovala;ženský
Ponáhľala;ženský;Ponáhľala;ženský
som;;som;
sa;;sa;
lebo;;lebo;
ak;;ak;
pozrú;;pozrú;
z;stredný;z;
okna;stredný;okna;stredný
uvidia;;uvidia;
ako;;ako;
sedíme;;sedíme;
na;;na;
múre;mužský neživotný;múre;mužský neživotný
som;;som;
znepokojiť;;znepokojiť;
ale;;ale;
čím;;čím;
dlhšie;ženský;dlhšie;
tu;;tu;
ostaneme;;ostaneme;
tým;;tým;
skôr;;skôr;
nás;;nás;všeobecný
zbadajú;;zbadajú;
Majú;;Majú;
nás;;nás;všeobecný
ako;;ako;
na;;na;
dlani;ženský;dlani;ženský
Zoskočili;ženský;Zoskočili;všeobecný
sme;;sme;
do;;do;
mäkkej;ženský;mäkkej;ženský
trávy;ženský;trávy;ženský
Schuti;;Schuti;
som;;som;
sa;;sa;
zasmiala;ženský;zasmiala;ženský
keď;;keď;
na;;na;
trávniku;mužský neživotný;trávniku;mužský neživotný
Potom;;Potom;
sa;;sa;
vrhol;mužský neživotný;vrhol;mužský životný
do;;do;
vody;ženský;vody;ženský
a;stredný;a;
rozpleštil;mužský neživotný;rozpleštil;mužský životný
sa;;sa;
na;;na;
člne;mužský neživotný;člne;mužský neživotný
až;;až;
ma;;ma;všeobecný
od;;od;
smiechu;mužský neživotný;smiechu;mužský neživotný
rozbolelo;stredný;rozbolelo;stredný
brucho;stredný;brucho;stredný
Od;;Od;
smiechu;mužský neživotný;smiechu;mužský neživotný
som;;som;
takmer;;takmer;
chodiť;;chodiť;
Po;;Po;
chvíli;ženský;chvíli;ženský
sme;;sme;
sa;;sa;
spamätali;ženský;spamätali;všeobecný
a;stredný;a;
uháňali;ženský;uháňali;všeobecný
preč;;preč;
Chichúňali;ženský;Chichúňali;všeobecný
sme;;sme;
sa;;sa;
ako;;ako;
pojašení;mužský životný;pojašení;mužský životný
prebehli;ženský;prebehli;všeobecný
sme;;sme;
cez;;cez;
trávnik;mužský neživotný;trávnik;mužský neživotný
a;stredný;a;
smerovali;ženský;smerovali;všeobecný
k;stredný;k;
múru;mužský neživotný;múru;mužský neživotný
Spojil;mužský neživotný;Spojil;mužský životný
ruky;ženský;ruky;ženský
a;stredný;a;
ja;stredný;ja;všeobecný
som;;som;
sa;;sa;
na;;na;
ne;mužský neživotný;ne;ženský
postavila;ženský;postavila;ženský
Ty;;Ty;všeobecný
odvetil;mužský neživotný;odvetil;mužský životný
Drž;;Drž;
povedal;mužský neživotný;povedal;mužský životný
Snažila;ženský;Snažila;ženský
som;;som;
sa;;sa;
zachovať;;zachovať;
